package_name,category,repo_age_days,days_since_last_commit,releases_per_year,stars_per_day,contributors_per_year,doc_completeness_score,has_license,weekly_downloads,open_issues,well_maintained
@dxtmisha/functional-basic,HTTP clients,554,0,42.85424187725632,0.0,0.6592960288808665,2.0,1,388,0.0,1
reduct-js,HTTP clients,1570,15,13.493312101910828,0.006369426751592357,1.395859872611465,2.0,1,1287,2.0,1
@gofreego/tsutils,HTTP clients,132,34,80.24431818181817,0.0,2.767045454545454,1.0,1,56,0.0,1
util-http,HTTP clients,452,108,12.121128318584072,0.004424778761061947,2.4242256637168142,2.0,1,29,0.0,1
scrappey-wrapper,HTTP clients,1113,51,3.6098382749326143,0.013477088948787063,0.32816711590296493,2.0,1,325,0.0,1
als-request,HTTP clients,1153,1131,2.534258456201214,0.0008673026886383347,0.31678230702515175,2.0,1,190,0.0,0
@mdf.js/http-client-provider,HTTP clients,1367,97,28.589429407461594,0.000731528895391368,0.5343818580833943,2.0,1,136,0.0,1
@journyio/http,HTTP clients,2122,1739,1.0327521206409047,0.001413760603204524,0.34425070688030157,1.0,1,21,4.0,0
drishti-sdk,HTTP clients,83,10,89.28333333333333,0.0,12.175,1.0,0,44,0.0,1
moment,Date/time libraries,5630,3,4.930550621669627,8.512611012433393,45.023712255772644,1.0,1,34377779,222.0,1
date-fns,Date/time libraries,4315,52,17.69113557358053,8.486442641946697,36.48267670915411,1.0,0,96114380,983.0,1
luxon,Date/time libraries,3894,92,14.163520801232666,4.218284540318439,23.16814329738059,1.0,1,36380333,194.0,1
to-regex-range,Date/time libraries,4010,728,1.6395261845386535,0.04314214463840399,0.45542394014962595,1.0,1,154568060,10.0,0
kind-of,Date/time libraries,4325,777,2.195722543352601,0.08184971098265896,1.0134104046242773,1.0,1,122384851,13.0,0
is-extendable,Date/time libraries,4049,1804,0.3608298345270437,0.004692516670782909,0.3608298345270437,2.0,1,59042062,1.0,0
postgres-date,Date/time libraries,4064,172,1.0784940944881891,0.0044291338582677165,0.8088705708661418,2.0,1,52780663,1.0,1
@date-fns/tz,Date/time libraries,4315,52,1.523638470451912,8.486442641946697,36.48267670915411,1.0,0,33819839,983.0,1
clone-deep,Date/time libraries,4171,901,1.4011028530328458,0.07600095900263726,0.35027571325821144,2.0,1,27330394,8.0,0
fecha,Date/time libraries,4220,1302,2.163803317535545,0.48981042654028434,1.731042654028436,2.0,1,24763093,8.0,0
moment-timezone,Date/time libraries,5195,11,4.851251203079885,0.7462945139557267,3.796631376323388,1.0,1,18615357,76.0,1
date-fns-tz,Date/time libraries,2853,575,7.809411146161935,0.41430073606729756,6.017087276550999,2.0,1,10682644,73.0,0
date-format,Date/time libraries,4718,1107,1.780574395930479,0.01271725307333616,0.6967465027554048,2.0,1,8829994,4.0,0
@google-cloud/precise-date,Date/time libraries,4468,0,1.3897157564905998,0.7148612354521039,52.64205840770872,1.0,1,9193809,627.0,1
natural-orderby,Date/time libraries,2955,220,1.7304568527918782,0.022673434856175973,0.9888324873096447,2.0,1,5993719,18.0,1
telejson,Date/time libraries,2837,113,7.209728586535072,0.062389848431441665,3.604864293267536,2.0,1,3860293,16.0,1
react-datepicker,Date/time libraries,4421,119,16.688645102917892,1.8961773354444695,41.72161275729473,2.0,1,5105530,90.0,1
@js-joda/core,Date/time libraries,3939,9,3.245430312261995,0.4219345011424219,8.252665651180502,2.0,1,4410193,11.0,1
mockdate,Date/time libraries,4517,698,1.5363626300642017,0.15054239539517378,1.2129178658401594,2.0,1,2862012,17.0,0
time-stamp,Date/time libraries,4108,2074,0.9780306718597859,0.026777020447906523,0.7112950340798443,2.0,1,2688842,8.0,0
pretty-time,Date/time libraries,3944,2605,0.5556541582150102,0.01343813387423935,0.18521805273833672,2.0,1,2578479,2.0,0
@segment/isodate,Date/time libraries,4712,975,0.3100594227504244,0.0021222410865874364,0.697633701188455,1.0,1,1978690,18.0,0
new-date,Date/time libraries,4885,1107,0.6729273285568066,0.0028659160696008186,0.9720061412487206,2.0,1,2040938,16.0,0
@segment/isodate-traverse,Date/time libraries,4703,34,0.31065277482458004,0.0025515628322347436,1.1649479055921752,2.0,1,2047728,23.0,1
flatpickr,Date/time libraries,4006,726,15.8645781328008,4.110584123814278,24.70862456315527,1.0,1,1761470,853.0,0
@date-io/core,Date/time libraries,2830,509,5.80786219081272,0.2667844522968198,6.195053003533569,2.0,1,1744104,34.0,0
@date-io/date-fns,Date/time libraries,2830,509,6.711307420494699,0.2667844522968198,6.195053003533569,2.0,1,1275516,34.0,0
nano-time,Date/time libraries,3572,1937,0.10225363941769318,0.005879059350503919,0.10225363941769318,2.0,0,1703689,2.0,0
duration,Date/time libraries,5181,1057,0.5639837869137232,0.005790387955993051,0.0704979733642154,2.0,1,1491885,3.0,0
vali-date,Date/time libraries,3879,713,0.09416086620262953,0.0030935808197989174,0.09416086620262953,2.0,1,1331744,0.0,0
date-arithmetic,Date/time libraries,4362,2400,0.6698762035763411,0.012379642365887207,0.921079779917469,2.0,1,1411979,2.0,0
react-calendar,Date/time libraries,3289,2,9.99467923380967,1.1508057160231073,4.553131650957738,2.0,1,1255335,24.0,1
@mantine/dates,Date/time libraries,2029,0,73.08600295712174,10.121843086852163,52.64205840770872,1.0,1,1155091,55.0,1
date-time,Date/time libraries,4585,1483,0.7169574700109052,0.006761177753544166,0.4779716466739367,1.0,1,949138,0.0,0
time-zone,Date/time libraries,3662,1482,0.2992217367558711,0.015838339705079193,0.1994811578372474,1.0,1,780388,0.0,0
@wojtekmaj/date-utils,Date/time libraries,2460,4,2.2271341463414633,0.00853658536585366,0.5939024390243902,2.0,1,1127868,0.0,1
timestring,Date/time libraries,4974,515,1.101477683956574,0.01648572577402493,1.0280458383594693,1.0,1,1197769,2.0,0
chartjs-adapter-date-fns,Date/time libraries,2759,1107,1.985773831098224,0.04385646973541138,1.0590793765857194,1.0,1,872376,13.0,0
@date-io/moment,Date/time libraries,2830,509,6.840371024734982,0.2667844522968198,6.195053003533569,2.0,1,792084,34.0,0
timezone-mock,Date/time libraries,4002,39,4.198275862068965,0.026986506746626688,2.555472263868066,2.0,1,737817,12.0,1
lossless-json,Date/time libraries,3824,204,2.9609701882845187,0.12421548117154811,0.6686061715481172,2.0,1,872711,1.0,1
@expo/timeago.js,Date/time libraries,1780,1780,0.20519662921348314,0.0005617977528089888,16.826123595505617,1.0,1,871387,0.0,0
react-native-modal-datetime-picker,Date/time libraries,3606,706,9.82508319467554,0.8466444814198558,9.82508319467554,2.0,1,798124,59.0,0
caldate,Date/time libraries,3724,1176,1.3731203007518797,0.0002685284640171858,0.09808002148227712,2.0,1,772472,2.0,0
@vuepic/vue-datepicker,Date/time libraries,1599,21,22.157129455909946,1.103189493433396,20.78658536585366,2.0,1,697666,10.0,1
@date-io/dayjs,Date/time libraries,2830,509,5.80786219081272,0.2667844522968198,6.195053003533569,2.0,1,683456,34.0,0
vega-format,Date/time libraries,4924,0,1.038484971567831,2.425467099918765,12.387642160844841,1.0,1,802405,480.0,1
vega-time,Date/time libraries,4924,0,1.1868399675060926,2.425467099918765,12.387642160844841,1.0,1,832510,480.0,1
jalaali-js,Date/time libraries,4426,5,1.4854270221418888,0.08224130140081337,0.9077609579755987,2.0,1,817467,1.0,1
world-calendars,Date/time libraries,447,383,4.902684563758389,0.0022371364653243847,2.4513422818791946,2.0,1,679735,0.0,0
teleport-javascript,Date/time libraries,2466,1175,0.44434306569343063,0.0040551500405515,0.8886861313868613,1.0,1,620843,1.0,0
@date-io/luxon,Date/time libraries,2830,509,6.840371024734982,0.2667844522968198,6.195053003533569,2.0,1,595047,34.0,0
react-date-range,Date/time libraries,3946,829,3.517359351241764,0.6639635073492144,6.294221996958946,2.0,1,515524,239.0,0
ics,Date/time libraries,4295,31,9.099359720605355,0.18323632130384168,6.888300349243306,2.0,1,573482,26.0,1
react-date-picker,Date/time libraries,3249,1,29.56625115420129,0.4161280393967375,2.585641735918744,2.0,1,401281,15.0,1
pikaday,Date/time libraries,5043,352,1.013979773944081,1.6042038469165179,7.459994051160024,1.0,1,334230,322.0,1
@js-joda/timezone,Date/time libraries,3939,9,3.709063214013709,0.4219345011424219,8.252665651180502,2.0,1,501010,11.0,1
@breejs/later,Date/time libraries,2172,974,1.849792817679558,0.06906077348066299,2.8587707182320443,2.0,1,390997,20.0,0
jest,Testing frameworks,4615,1,30.074756229685807,9.849187432286024,52.64205840770872,2.0,1,46751491,231.0,1
mocha,Testing frameworks,5623,0,15.91432509336653,4.073981860216966,39.62342166103504,2.0,1,14791710,248.0,1
vitest,Testing frameworks,1699,0,102.54517363154797,9.939964685108887,52.64205840770872,1.0,1,84959096,400.0,1
cynic,Testing frameworks,3923,1222,2.048304868722916,0.0012745347947998981,0.09310476676013256,1.0,1,83,1.0,0
@vaagatech/snapline-auth-adapters,Testing frameworks,26,20,32.46666666666667,0.0,8.116666666666667,2.0,1,51,0.0,1
@vaagatech/snapline-core,Testing frameworks,26,20,32.46666666666667,0.0,8.116666666666667,2.0,1,49,0.0,1
@amaui/test,Testing frameworks,1637,303,8.255497861942578,0.0,0.44624312767257174,2.0,1,224,0.0,1
@vaagatech/snapline-engine,Testing frameworks,26,20,32.46666666666667,0.0,8.116666666666667,2.0,1,41,0.0,1
@sx4im/chronos-vitest,Testing frameworks,471,1,3.877388535031847,0.036093418259023353,0.7754777070063694,2.0,1,739,0.0,1
event_request,Testing frameworks,2978,367,29.803811282740096,0.001343183344526528,1.1038448623237072,2.0,1,273,2.0,0
json-deep-compare,Testing frameworks,484,257,11.319731404958677,0.008264462809917356,2.2639462809917354,2.0,1,52,8.0,1
reqprobe,Testing frameworks,162,27,6.763888888888888,0.06172839506172839,4.509259259259259,1.0,1,5,0.0,1
@kubiklabs/wasmkit,Testing frameworks,1023,801,1.4281524926686218,0.008797653958944282,4.284457478005865,2.0,1,1,43.0,0
